itm_id,val_id,val_txt
D0500F1,0,No (enter 0 in column 2)
D0500F1,1,Yes (enter 0-3 in column 2)
D0500F1,-,Not assessed/no information
D0500F1,^,Blank (skip pattern)
D0500F2,0,Never or 1 day
D0500F2,1,2-6 days (several days)
D0500F2,2,7-11 days (half or more of the days)
D0500F2,3,12-14 days (nearly every day)
D0500F2,-,Not assessed/no information
D0500F2,^,Blank (skip pattern)
D0500G1,0,No (enter 0 in column 2)
D0500G1,1,Yes (enter 0-3 in column 2)
D0500G1,-,Not assessed/no information
D0500G1,^,Blank (skip pattern)
D0500G2,0,Never or 1 day
D0500G2,1,2-6 days (several days)
D0500G2,2,7-11 days (half or more of the days)
D0500G2,3,12-14 days (nearly every day)
D0500G2,-,Not assessed/no information
D0500G2,^,Blank (skip pattern)
D0500H1,0,No (enter 0 in column 2)
D0500H1,1,Yes (enter 0-3 in column 2)
D0500H1,-,Not assessed/no information
D0500H1,^,Blank (skip pattern)
D0500H2,0,Never or 1 day
D0500H2,1,2-6 days (several days)
D0500H2,2,7-11 days (half or more of the days)
D0500H2,3,12-14 days (nearly every day)
D0500H2,-,Not assessed/no information
D0500H2,^,Blank (skip pattern)
D0500I1,0,No (enter 0 in column 2)
D0500I1,1,Yes (enter 0-3 in column 2)
D0500I1,-,Not assessed/no information
D0500I1,^,Blank (skip pattern)
D0500I2,0,Never or 1 day
D0500I2,1,2-6 days (several days)
D0500I2,2,7-11 days (half or more of the days)
D0500I2,3,12-14 days (nearly every day)
D0500I2,-,Not assessed/no information
D0500I2,^,Blank (skip pattern)
D0500J1,0,No (enter 0 in column 2)
D0500J1,1,Yes (enter 0-3 in column 2)
D0500J1,-,Not assessed/no information
D0500J1,^,Blank (skip pattern)
D0500J2,0,Never or 1 day
D0500J2,1,2-6 days (several days)
D0500J2,2,7-11 days (half or more of the days)
D0500J2,3,12-14 days (nearly every day)
D0500J2,-,Not assessed/no information
D0500J2,^,Blank (skip pattern)
D0600,00,Minimum value
D0600,30,Maximum value
D0600,-,Not assessed/no information
D0600,^,Blank (skip pattern)
E0100A,0,Not checked (No)
E0100A,1,Checked (Yes)
E0100A,-,Not assessed/no information
E0100A,^,Blank (skip pattern)
E0100B,0,Not checked (No)
E0100B,1,Checked (Yes)
E0100B,-,Not assessed/no information
E0100B,^,Blank (skip pattern)
E0100Z,0,Not checked (No)
E0100Z,1,Checked (Yes)
ASMT_SYS_CD,MDS,MDS assessment system
ITM_SBST_CD,NC,Nursing home comprehensive assessment
ITM_SET_VRSN_CD,1.00,Initial version of MDS 3.0 item set
SPEC_VRSN_CD,1.00,Initial version of data specifications (effective 10/01/2010)
PRODN_TEST_CD,P,Production submission
STATE_CD,AL,Alabama
FAC_ID,Text,Facility/provider submission ID
SFTWR_VNDR_ID,Text,Software vendor federal employer tax identification number
SFTWR_VNDR_EMAIL_ADR,Text,Software vendor email address
SFTWR_PROD_NAME,Text,Name of software product used to produce submission file
SFTWR_PROD_VRSN_CD,Text,Version number of software product used to produce submission file
FAC_DOC_ID,Text,Facility document ID
A0100A,Text,National Provider Identifier
A0100A,^,Blank (not available or unknown)
A0100B,Text,CMS Certification Number (CCN)
A0100B,^,Blank (not available or unknown)
A0100C,Text,State Provider Number
A0100C,^,Blank (not available or unknown)
A0200,1,Nursing home (SNF/NF)
A0200,2,Swing bed
A0500A,Text,Resident first name
A0500B,Text,Resident middle initial
A0500B,^,Blank (not available or unknown)
A0500C,Text,Resident last name
A0500D,Text,Resident name suffix
A0500D,^,Blank (not available or unknown)
A0600A,Text,Resident social security number
A0600A,^,Blank (not available or unknown)
A0600B,Text,Resident Medicare number
A0600B,^,Blank (not available or unknown)
A0700,Text,Resident Medicaid number
A0700,+,"Enter ""+"" if Medicaid application is pending"
A0700,N,"Enter ""N"" if not a Medicaid recipient"
A0700,^,Blank (not available or unknown)
A0900,YYYYMMDD,Resident birthdate
A0900,YYYYMM,Resident birthdate (if day of month is unknown)
A0900,YYYY,Resident birthdate (if month and day unknown)
A1200,1,Never married
A1200,2,Married
A1200,3,Widowed
A1200,4,Separated
A1200,5,Divorced
A1200,-,Not assessed/no information
A1300A,Text,Facility medical record number
A1300A,^,Blank (not available or unknown)
A1300B,Text,Resident room number
A1300B,^,Blank (not available or unknown)
A1300C,Text,Name by which resident prefers to be addressed
A1300C,^,Blank (not available or unknown)
A1300D,Text,"Lifetime occupation(s) - put ""/"" between two occupations"
A1300D,^,Blank (not available or unknown)
A0310A,01,Admission assessment (required by day 14)
A0310A,02,Quarterly review assessment
A0310A,03,Annual assessment
A0310A,04,Significant change in status assessment
A0310A,05,Significant correction to prior comprehensive assessment
A0310A,06,Significant correction to prior quarterly assessment
A0310A,99,None of the above
A0310B,01,5-day scheduled assessment
A0310B,99,None of the above
A0410,3,Unit is Medicare and/or Medicaid certified.
A0410,2,Unit is not Medicare nor Medicaid certified but MDS data is required by the State.
A2400A,0,No
A2400A,1,Yes
A2400B,YYYYMMDD,Start date of most recent Medicare stay
A2400B,^,Blank (skip pattern)
A2400C,YYYYMMDD,End Date of Most recent Medicare Stay
A2400C,--------,Medicare stay is ongoing
A2400C,^,Blank (skip pattern)
A1500,0,No
A1500,1,Yes
A1500,9,Not a Medicaid certified unit
A1500,-,Not assessed/no information
A1600,YYYYMMDD,Entry Date (date of this admission/entry or reentry into the facility)
A1700,1,Admission
A1700,2,Reentry
A2000,YYYYMMDD,Discharge date
A2200,YYYYMMDD,Previous assessment reference date for significant correction
A2200,^,Blank (skip pattern)
A2300,YYYYMMDD,Assessment reference date
B0100,0,No
B0100,1,Yes
B0100,-,Not assessed/no information
B0200,0,"Adequate-no difficulty in normal conversation, social interaction, listening to TV"
B0200,1,"Minimal difficulty-difficulty in some environments (e.g.,when person speaks softly or setting is noisy)"
B0200,2,Moderate difficulty-speaker has to increase volume and speak distinctly
B0200,3,Highly impaired-absence of useful hearing
B0200,-,Not assessed/no information
B0200,^,Blank (skip pattern)
B0300,0,No
B0300,1,Yes
B0300,-,Not assessed/no information
B0300,^,Blank (skip pattern)
B0600,0,Clear speech-distinct intelligible words
B0600,1,Unclear speech-slurred or mumbled words
B0600,2,No speech-absence of spoken words
B0600,-,Not assessed/no information
B0600,^,Blank (skip pattern)
B0700,0,Understood
B0700,1,Usually understood-difficulty communicating some words or finishing thoughts but is able if prompted or given time
B0700,2,Sometimes understood-ability is limited to making concrete requests
B0700,3,Rarely/never understood
B0700,-,Not assessed/no information
B0700,^,Blank (skip pattern)
B0800,0,Understands-clear comprehension
B0800,1,Usually understands-misses some part/intent of message but comprehends most conversation
B0800,2,"Sometimes understands-responds adequately to simple, direct communication only"
B0800,3,Rarely/never understands
B0800,-,Not assessed/no information
B0800,^,Blank (skip pattern)
B1000,0,"Adequate-sees fine detail, such as regular print in newspapers/books"
B1000,1,"Impaired-sees large print, but not regular print in newspapers/books"
B1000,2,Moderately impaired-limited vision; not able to see newspaper headlines but can identify objects
B1000,3,"Highly impaired-object identification in question, but eyes appear to follow objects"
B1000,4,"Severely impaired-no vision or sees only light, colors or shapes; eyes do not appear to follow objects"
B1000,-,Not assessed/no information
B1000,^,Blank (skip pattern)
B1200,0,No
B1200,1,Yes
B1200,-,Not assessed/no information
B1200,^,Blank (skip pattern)
C0100,0,No (resident is rarely/never understood)
C0100,1,Yes
C0100,-,Not assessed/no information
C0100,^,Blank (skip pattern)
C0200,0,None
C0200,1,One
C0200,2,Two
C0200,3,Three
C0200,-,Not assessed/no information
C0200,^,Blank (skip pattern)
C0300A,3,Correct
C0300A,2,Missed by 1 year
C0300A,1,Missed by 2-5 years
C0300A,0,Missed by > 5 years or no answer
C0300A,-,Not assessed/no information
C0300A,^,Blank (skip pattern)
C0300B,2,Accurate within 5 days
C0300B,1,Missed by 6 days to 1 month
C0300B,0,Missed by > 1 month or no answer
C0300B,-,Not assessed/no information
C0300B,^,Blank (skip pattern)
C0300C,1,Correct
C0300C,0,Incorrect or no answer
C0300C,-,Not assessed/no information
C0300C,^,Blank (skip pattern)
C0400A,2,"Yes, no cue required"
C0400A,1,"Yes, after cueing (""something to wear"")"
C0400A,0,No - could not recall
C0400A,-,Not assessed/no information
C0400A,^,Blank (skip pattern)
C0400B,2,"Yes, no cue required"
C0400B,1,"Yes, after cueing (""a color"")"
C0400B,0,No - could not recall
C0400B,-,Not assessed/no information
C0400B,^,Blank (skip pattern)
C0400C,2,"Yes, no cue required"
E0100Z,-,Not assessed/no information
E0100Z,^,Blank (skip pattern)
E0200A,0,Behavior not exhibited
E0200A,1,Behavior of this type occurred 1 to 3 days
E0200A,2,"Behavior of this type occurred 4 to 6 days, but less than daily"
E0200A,3,Behavior of this type occurred daily
E0200A,-,Not assessed/no information
E0200A,^,Blank (skip pattern)
E0200B,0,Behavior not exhibited
E0200B,1,Behavior of this type occurred 1 to 3 days
E0200B,2,"Behavior of this type occurred 4 to 6 days, but less than daily"
E0200B,3,Behavior of this type occurred daily
E0200B,-,Not assessed/no information
E0200B,^,Blank (skip pattern)
E0200C,0,Behavior not exhibited
E0200C,1,Behavior of this type occurred 1 to 3 days
E0200C,2,"Behavior of this type occurred 4 to 6 days, but less than daily"
E0200C,3,Behavior of this type occurred daily
E0200C,-,Not assessed/no information
E0200C,^,Blank (skip pattern)
E0300,0,No
E0300,1,Yes
E0300,-,Not assessed/no information
E0300,^,Blank (skip pattern)
E0500A,0,No
E0500A,1,Yes
E0500A,-,Not assessed/no information
E0500A,^,Blank (skip pattern)
E0500B,0,No
E0500B,1,Yes
E0500B,-,Not assessed/no information
E0500B,^,Blank (skip pattern)
E0500C,0,No
E0500C,1,Yes
E0500C,-,Not assessed/no information
E0500C,^,Blank (skip pattern)
E0600A,0,No
E0600A,1,Yes
E0600A,-,Not assessed/no information
E0600A,^,Blank (skip pattern)
E0600B,0,No
E0600B,1,Yes
E0600B,-,Not assessed/no information
E0600B,^,Blank (skip pattern)
E0600C,0,No
E0600C,1,Yes
E0600C,-,Not assessed/no information
E0600C,^,Blank (skip pattern)
E0800,0,Behavior not exhibited
E0800,1,Behavior of this type occurred 1 to 3 days
E0800,2,"Behavior of this type occurred 4 to 6 days, but less than daily"
E0800,3,Behavior of this type occurred daily
E0800,-,Not assessed/no information
E0800,^,Blank (skip pattern)
E0900,0,Behavior not exhibited
E0900,1,Behavior of this type occurred 1 to 3 days
E0900,2,"Behavior of this type occurred 4 to 6 days, but less than daily"
E0900,3,Behavior of this type occurred daily
E0900,-,Not assessed/no information
E0900,^,Blank (skip pattern)
E1000A,0,No
E1000A,1,Yes
E1000A,-,Not assessed/no information
E1000A,^,Blank (skip pattern)
E1000B,0,No
E1000B,1,Yes
E1000B,-,Not assessed/no information
E1000B,^,Blank (skip pattern)
E1100,0,Same
E1100,1,Improved
E1100,2,Worse
E1100,3,N/A because no prior MDS assessment
E1100,-,Not assessed/no information
E1100,^,Blank (skip pattern)
F0300,0,No (resident is rarely/never understood and family/significant other not available)
F0300,1,Yes
F0300,-,Not assessed/no information
F0300,^,Blank (skip pattern)
F0400A,1,Very important
F0400A,2,Somewhat important
F0400A,3,Not very important
F0400A,4,Not important at all
F0400A,-,Not assessed/no information
F0400A,^,Blank (skip pattern)
F0600,1,Resident
F0600,2,Family or significant other (close friend or other representative)
F0600,9,"Interview could not be completed by resident or family/significant other (""No response"" to 3 or more items)"
F0600,-,Not assessed/no information
F0600,^,Blank (skip pattern)
F0700,0,No (because Interview for Daily and Activity Preferences (F0400 and F0500) was completed by resident or family/significant other)
F0700,1,Yes (because 3 or more items in Interview for Daily and Activity Preferences (F0400 and F0500) were not completed by resident or family/significant other)
F0700,-,Not assessed/no information
F0700,^,Blank (skip pattern)
F0800A,0,Not checked (No)
F0800A,1,Checked (Yes)
F0800A,-,Not assessed/no information
F0800A,^,Blank (skip pattern)
F0800B,0,Not checked (No)
F0800B,1,Checked (Yes)
F0800B,-,Not assessed/no information
F0800B,^,Blank (skip pattern)
F0800C,0,Not checked (No)
F0800C,1,Checked (Yes)
F0800C,-,Not assessed/no information
F0800C,^,Blank (skip pattern)
F0800D,0,Not checked (No)
F0800D,1,Checked (Yes)
F0800D,-,Not assessed/no information
F0800D,^,Blank (skip pattern)
F0800E,0,Not checked (No)
F0800E,1,Checked (Yes)
F0800E,-,Not assessed/no information
F0800E,^,Blank (skip pattern)
F0800F,0,Not checked (No)
F0800F,1,Checked (Yes)
F0800F,-,Not assessed/no information
F0800F,^,Blank (skip pattern)
F0800G,0,Not checked (No)
F0800G,1,Checked (Yes)
F0800G,-,Not assessed/no information
F0800G,^,Blank (skip pattern)
F0800H,0,Not checked (No)
F0800H,1,Checked (Yes)
F0800H,-,Not assessed/no information
F0800H,^,Blank (skip pattern)
F0800I,0,Not checked (No)
F0800I,1,Checked (Yes)
F0800I,-,Not assessed/no information
F0800I,^,Blank (skip pattern)
F0800J,0,Not checked (No)
F0800J,1,Checked (Yes)
F0800J,-,Not assessed/no information
F0800J,^,Blank (skip pattern)
F0800K,0,Not checked (No)
F0800K,1,Checked (Yes)
F0800K,-,Not assessed/no information
F0800K,^,Blank (skip pattern)
F0800L,0,Not checked (No)
F0800L,1,Checked (Yes)
F0800L,-,Not assessed/no information
F0800L,^,Blank (skip pattern)
F0800M,0,Not checked (No)
F0800M,1,Checked (Yes)
F0800M,-,Not assessed/no information
F0800M,^,Blank (skip pattern)
F0800N,0,Not checked (No)
F0800N,1,Checked (Yes)
F0800N,-,Not assessed/no information
F0800N,^,Blank (skip pattern)
F0800O,0,Not checked (No)
F0800O,1,Checked (Yes)
F0800O,-,Not assessed/no information
F0800O,^,Blank (skip pattern)
F0800P,0,Not checked (No)
F0800P,1,Checked (Yes)
F0800P,-,Not assessed/no information
F0800P,^,Blank (skip pattern)
F0800Q,0,Not checked (No)
F0800Q,1,Checked (Yes)
F0800Q,-,Not assessed/no information
F0800Q,^,Blank (skip pattern)
F0800R,0,Not checked (No)
F0800R,1,Checked (Yes)
F0800R,-,Not assessed/no information
F0800R,^,Blank (skip pattern)
F0800S,0,Not checked (No)
F0800S,1,Checked (Yes)
F0800S,-,Not assessed/no information
F0800S,^,Blank (skip pattern)
F0800T,0,Not checked (No)
F0800T,1,Checked (Yes)
F0800T,-,Not assessed/no information
F0800T,^,Blank (skip pattern)
F0800Z,0,Not checked (No)
F0800Z,1,Checked (Yes)
F0800Z,-,Not assessed/no information
F0800Z,^,Blank (skip pattern)
H0100A,0,Not checked (No)
H0100A,1,Checked (Yes)
H0100A,-,Not assessed/no information
H0100B,0,Not checked (No)
H0100B,1,Checked (Yes)
H0100B,-,Not assessed/no information
H0100C,0,Not checked (No)
H0100C,1,Checked (Yes)
H0100C,-,Not assessed/no information
H0100D,0,Not checked (No)
H0100D,1,Checked (Yes)
H0100D,-,Not assessed/no information
H0100Z,0,Not checked (No)
H0100Z,1,Checked (Yes)
H0100Z,-,Not assessed/no information
H0200A,0,No
H0200A,1,Yes
H0200A,9,Unable to determine
H0200A,-,Not assessed/no information
H0200B,0,No improvement
H0200B,1,Decreased wetness
H0200B,2,Completely dry (continent)
H0200B,9,Unable to determine or trial in progress
H0200B,-,Not assessed/no information
H0200B,^,Blank (skip pattern)
H0200C,0,No
H0200C,1,Yes
H0200C,-,Not assessed/no information
H0200C,^,Blank (skip pattern)
H0300,0,Always continent
H0300,1,Occasionally incontinent (less than 7 episodes of incontinence)
H0300,2,"Frequently incontinent (7 or more episodes of urinary incontinence, but at least one episode of continent voiding)"
H0300,3,Always incontinent (no episodes of continent voiding)
H0300,9,"Not rated, resident had a catheter (indwelling, condom), urinary ostomy, or no urine output for entire 7 days"
H0300,-,Not assessed/no information
H0400,0,Always continent
H0400,1,Occasionally incontinent (one episode of bowel incontinence)
H0400,2,"Frequently incontinent (2 or more episodes of bowel incontinence, but at least one continent bowel movement)"
H0400,3,Always incontinent (no episodes of continent bowel movements)
H0400,9,"Not rated, resident had an ostomy or did not have a bowel movement for the entire 7 days"
H0400,-,Not assessed/no information
H0500,0,No
H0500,1,Yes
H0500,-,Not assessed/no information
H0600,0,No
H0600,1,Yes
H0600,-,Not assessed/no information
I0100,0,Not checked (No)
I0100,1,Checked (Yes)
I0100,-,Not assessed/no information
I0200,0,Not checked (No)
I0200,1,Checked (Yes)
I0200,-,Not assessed/no information
I0300,0,Not checked (No)
I0300,1,Checked (Yes)
I0300,-,Not assessed/no information
I0400,0,Not checked (No)
I0400,1,Checked (Yes)
I0400,-,Not assessed/no information
I0500,0,Not checked (No)
I0500,1,Checked (Yes)
I0500,-,Not assessed/no information
I0600,0,Not checked (No)
I0600,1,Checked (Yes)
I0600,-,Not assessed/no information
I0700,0,Not checked (No)
I0700,1,Checked (Yes)
I0700,-,Not assessed/no information
I0900,0,Not checked (No)
I0900,1,Checked (Yes)
I0900,-,Not assessed/no information
I1100,0,Not checked (No)
I1100,1,Checked (Yes)
I1100,-,Not assessed/no information
I1200,0,Not checked (No)
I1200,1,Checked (Yes)
I1200,-,Not assessed/no information
I1300,0,Not checked (No)
I1300,1,Checked (Yes)
I1300,-,Not assessed/no information
I1400,0,Not checked (No)
I1400,1,Checked (Yes)
I1400,-,Not assessed/no information
I1500,0,Not checked (No)
I1500,1,Checked (Yes)
I1500,-,Not assessed/no information
I1700,0,Not checked (No)
I1700,1,Checked (Yes)
I1700,-,Not assessed/no information
I2000,0,Not checked (No)
I2000,1,Checked (Yes)
I2000,-,Not assessed/no information
I2100,0,Not checked (No)
I2100,1,Checked (Yes)
I2100,-,Not assessed/no information
I2200,0,Not checked (No)
I2200,1,Checked (Yes)
I2200,-,Not assessed/no information
I2300,0,Not checked (No)
I2300,1,Checked (Yes)
I2300,-,Not assessed/no information
I2400,0,Not checked (No)
I2400,1,Checked (Yes)
I2400,-,Not assessed/no information
I2900,0,Not checked (No)
I2900,1,Checked (Yes)
I2900,-,Not assessed/no information
I3100,0,Not checked (No)
I3100,1,Checked (Yes)
I3100,-,Not assessed/no information
I3200,0,Not checked (No)
I3200,1,Checked (Yes)
I3200,-,Not assessed/no information
I3300,0,Not checked (No)
I3300,1,Checked (Yes)
I3300,-,Not assessed/no information
I3400,0,Not checked (No)
I3400,1,Checked (Yes)
I3400,-,Not assessed/no information
I3700,0,Not checked (No)
I3700,1,Checked (Yes)
I3700,-,Not assessed/no information
I3800,0,Not checked (No)
I3800,1,Checked (Yes)
I3800,-,Not assessed/no information
I3900,0,Not checked (No)
I3900,1,Checked (Yes)
I3900,-,Not assessed/no information
I4000,0,Not checked (No)
I4000,1,Checked (Yes)
I4000,-,Not assessed/no information
I4200,0,Not checked (No)
I4200,1,Checked (Yes)
I4200,-,Not assessed/no information
I4300,0,Not checked (No)
I4300,1,Checked (Yes)
I4300,-,Not assessed/no information
I4400,0,Not checked (No)
I4400,1,Checked (Yes)
I4400,-,Not assessed/no information
I4500,0,Not checked (No)
I4500,1,Checked (Yes)
I4500,-,Not assessed/no information
I4800,0,Not checked (No)
I4800,1,Checked (Yes)
I4800,-,Not assessed/no information
I4900,0,Not checked (No)
I4900,1,Checked (Yes)
I4900,-,Not assessed/no information
I5000,0,Not checked (No)
I5000,1,Checked (Yes)
I5000,-,Not assessed/no information
I5100,0,Not checked (No)
I5100,1,Checked (Yes)
I5100,-,Not assessed/no information
I5200,0,Not checked (No)
I5200,1,Checked (Yes)
I5200,-,Not assessed/no information
I5300,0,Not checked (No)
I5300,1,Checked (Yes)
I5300,-,Not assessed/no information
I5400,0,Not checked (No)
I5400,1,Checked (Yes)
I5400,-,Not assessed/no information
I5500,0,Not checked (No)
I5500,1,Checked (Yes)
I5500,-,Not assessed/no information
I5600,0,Not checked (No)
I5600,1,Checked (Yes)
I5600,-,Not assessed/no information
I5700,0,Not checked (No)
I5700,1,Checked (Yes)
I5700,-,Not assessed/no information
I5800,0,Not checked (No)
I5800,1,Checked (Yes)
I5800,-,Not assessed/no information
I5900,0,Not checked (No)
I5900,1,Checked (Yes)
I5900,-,Not assessed/no information
I6000,0,Not checked (No)
I6000,1,Checked (Yes)
I6000,-,Not assessed/no information
I6100,0,Not checked (No)
I6100,1,Checked (Yes)
I6100,-,Not assessed/no information
I6200,0,Not checked (No)
I6200,1,Checked (Yes)
I6200,-,Not assessed/no information
I6500,0,Not checked (No)
I6500,1,Checked (Yes)
I6500,-,Not assessed/no information
I7900,0,Not checked (No)
I7900,1,Checked (Yes)
I7900,-,Not assessed/no information
I8000A,ICD-10,ICD-10 code
I8000A,^,Blank (no diagnosis code)
I8000B,ICD-10,ICD-10 code
I8000B,^,Blank (no diagnosis code)
I8000C,ICD-10,ICD-10 code
I8000C,^,Blank (no diagnosis code)
I8000D,ICD-10,ICD-10 code
I8000D,^,Blank (no diagnosis code)
I8000E,ICD-10,ICD-10 code
I8000E,^,Blank (no diagnosis code)
I8000F,ICD-10,ICD-10 code
I8000F,^,Blank (no diagnosis code)
J0100A,0,No
J0100A,1,Yes
J0100A,-,Not assessed/no information
J0100B,0,No
J0100B,1,Yes
J0100B,-,Not assessed/no information
J0100C,0,No
J0100C,1,Yes
J0100C,-,Not assessed/no information
J0200,0,No (resident rarely/never understood)
J0200,1,Yes
J0200,-,Not assessed/no information
J0200,^,Blank (skip pattern)
J0300,0,No
J0300,1,Yes
J0300,9,Unable to answer
J0300,-,Not assessed/no information
J0300,^,Blank (skip pattern)
J0600A,00,Minimum value
J0600A,10,Maximum value
J0600A,99,Unable to answer
J0600A,-,Not assessed/no information
J0600A,^,Blank (skip pattern)
J0600B,1,Mild
J0600B,2,Moderate
J0600B,3,Severe
J0600B,4,"Very severe, horrible"
J0600B,9,Unable to answer
J0600B,-,Not assessed/no information
J0600B,^,Blank (skip pattern)
J0800A,0,Not checked (No)
J0800A,1,Checked (Yes)
J0800A,-,Not assessed/no information
J0800A,^,Blank (skip pattern)
J0800B,0,Not checked (No)
J0800B,1,Checked (Yes)
J0800B,-,Not assessed/no information
J0800B,^,Blank (skip pattern)
J0800C,0,Not checked (No)
J0800C,1,Checked (Yes)
J0800C,-,Not assessed/no information
J0800C,^,Blank (skip pattern)
J0800D,0,Not checked (No)
J0800D,1,Checked (Yes)
J0800D,-,Not assessed/no information
J0800D,^,Blank (skip pattern)
J0800Z,0,Not checked (No)
J0800Z,1,Checked (Yes)
J0800Z,-,Not assessed/no information
J0800Z,^,Blank (skip pattern)
J1100A,0,Not checked (No)
J1100A,1,Checked (Yes)
J1100A,-,Not assessed/no information
J1100B,0,Not checked (No)
J1100B,1,Checked (Yes)
J1100B,-,Not assessed/no information
J1100C,0,Not checked (No)
J1100C,1,Checked (Yes)
J1100C,-,Not assessed/no information
J1100Z,0,Not checked (No)
J1100Z,1,Checked (Yes)
J1100Z,-,Not assessed/no information
J1300,0,No
J1300,1,Yes
J1300,-,Not assessed/no information
J1400,0,No
J1400,1,Yes
J1400,-,Not assessed/no information
J1550A,0,Not checked (No)
J1550A,1,Checked (Yes)
J1550A,-,Not assessed/no information
J1550B,0,Not checked (No)
J1550B,1,Checked (Yes)
J1550B,-,Not assessed/no information
J1550C,0,Not checked (No)
J1550C,1,Checked (Yes)
J1550C,-,Not assessed/no information
J1550D,0,Not checked (No)
J1550D,1,Checked (Yes)
J1550D,-,Not assessed/no information
J1550Z,0,Not checked (No)
J1550Z,1,Checked (Yes)
J1550Z,-,Not assessed/no information
J1700A,0,No
J1700A,1,Yes
J1700A,9,Unable to determine
J1700A,-,Not assessed/no information
J1700A,^,Blank (skip pattern)
J1700B,0,No
J1700B,1,Yes
J1700B,9,Unable to determine
J1700B,-,Not assessed/no information
J1700B,^,Blank (skip pattern)
J1700C,0,No
J1700C,1,Yes
J1700C,9,Unable to determine
J1700C,-,Not assessed/no information
J1700C,^,Blank (skip pattern)
J1800,0,No
J1800,1,Yes
J1800,-,Not assessed/no information
J1900A,0,None
J1900A,1,One
J1900A,2,Two or more
J1900A,-,Not assessed/no information
J1900A,^,Blank (skip pattern)
J1900B,0,None
J1900B,1,One
J1900B,2,Two or more
J1900B,-,Not assessed/no information
J1900B,^,Blank (skip pattern)
J1900C,0,None
J1900C,1,One
J1900C,2,Two or more
J1900C,-,Not assessed/no information
